id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Ruthie;Cole;Astrid.Grant@hotmail.com;bah ah ah;2023-11-09T03:16:19;24169;2445
2;Devan;Conn;Lennie.Pagac@yahoo.com;unethically knottily velvety;2023-11-08T12:40:52;28367;31877
3;Shannon;Gulgowski;Vivienne.Hudson@yahoo.com;furthermore;2023-11-09T02:19:10;20860;1275
4;Giovanna;McDermott-Bradtke;Branson73@gmail.com;entomb mockingly till;2023-11-09T10:16:43;6378;6759
5;Earlene;Torp;Horace25@gmail.com;ew;2023-11-09T00:44:48;6971;31754
6;Raleigh;Harvey;Alva_Kemmer@yahoo.com;swiftly punctually;2023-11-08T14:04:56;23866;27435
7;Toy;Kozey;Tillman.Schmidt24@gmail.com;generally dictionary yum;2023-11-08T14:45:47;31848;18301
8;Nash;Stokes;Roscoe94@gmail.com;tight pfft;2023-11-08T14:17:08;26098;26414
9;Maegan;Mayer;Michale.Rice91@yahoo.com;yet;2023-11-09T01:21:03;29370;25893
10;Ezequiel;Schaefer;Zola_Conn17@yahoo.com;certainly venue scornful;2023-11-09T05:53:06;3165;23620
